,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,9935400.0,
Tax Rate For Calcs,0.2,0.225759,0.092038,0.2,
Total Unusual Items,,,0.0,49677000.0,0.0
Total Unusual Items Excluding Goodwill,,,0.0,49677000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-175816000.0,64303000.0,147977000.0,-68080000.0,
Reconciled Depreciation,27748000.0,33255000.0,24418000.0,9621000.0,
Interest Income,15221000.0,16042000.0,15216000.0,12308000.0,
Normalized Income,-175816000.0,64303000.0,147977000.0,-107821600.0,
Net Income From Continuing And Discontinued Operation,-175816000.0,64303000.0,147977000.0,-68080000.0,
Total Expenses,1664818000.0,1878933000.0,1654441000.0,1482632000.0,
Rent Expense Supplemental,,,296000.0,248000.0,4524000.0
Diluted Average Shares,127558000.0,103064000.0,101722000.0,82254652.0,
Basic Average Shares,127558000.0,103064000.0,101722000.0,82254652.0,
Diluted EPS,-1.38,0.62,1.45,-0.82781,
Basic EPS,-1.38,0.62,1.45,-0.82781,
Diluted NI Availto Com Stockholders,-175816000.0,64303000.0,147977000.0,-68080000.0,
Net Income Common Stockholders,-175816000.0,64303000.0,147977000.0,-68080000.0,
Net Income,-175816000.0,64303000.0,147977000.0,-68080000.0,
Minority Interests,-732000.0,,,,
Net Income Including Noncontrolling Interests,-175084000.0,64303000.0,147977000.0,-68080000.0,
Net Income Continuous Operations,-175084000.0,64303000.0,147977000.0,-68080000.0,
Tax Provision,20000000.0,18750000.0,15000000.0,11639000.0,
Pretax Income,-155084000.0,83053000.0,162977000.0,-56441000.0,
Other Income Expense,0.0,0.0,0.0,0.0,
Special Income Charges,,,0.0,49677000.0,0.0
Other Special Charges,,,0.0,0.0,0.0
Restructuring And Mergern Acquisition,,,0.0,-49677000.0,0.0
Other Operating Expenses,33746000.0,12018000.0,12580000.0,338000.0,
Depreciation And Amortization In Income Statement,,,1120000.0,407000.0,10580000.0
Depreciation Income Statement,,,1120000.0,407000.0,
Selling General And Administration,,,1074000.0,402000.0,43954000.0
Selling And Marketing Expense,,,1074000.0,402000.0,654000.0
General And Administrative Expense,,,,48844000.0,43300000.0
Rent And Landing Fees,,,296000.0,248000.0,4524000.0
Total Revenue,1509734000.0,1961986000.0,1817418000.0,1426191000.0,
Operating Revenue,1509734000.0,1961986000.0,1817418000.0,1426191000.0,
Net Policyholder Benefits And Claims,1342470000.0,1474942000.0,1299584000.0,1517498000.0,
