,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,87317385.0,286681163.0,-41286018.0,-173504185.0
Repayment Of Debt,-1166521386.0,-2629715384.0,-1310937198.0,-937004597.0
Issuance Of Debt,1203620186.0,2585842754.0,1565878762.0,1181878892.0
Capital Expenditure,-457278650.0,-479320259.0,-232369180.0,-249527460.0
End Cash Position,26301483.0,52282004.0,44422555.0,15601613.0
Beginning Cash Position,52282004.0,44422555.0,15601613.0,28129407.0
Effect Of Exchange Rate Changes,-3145679.0,6753077.0,1774104.0,
Changes In Cash,-22834842.0,1106372.0,27046838.0,-12527794.0
Financing Cash Flow,-229060021.0,-256071384.0,77952312.0,160845161.0
Interest Paid Cff,-189200548.0,-186179015.0,-157930204.0,-69642180.0
Cash Dividends Paid,-46020000.0,,,
Common Stock Dividend Paid,-46020000.0,0.0,,
Net Issuance Payments Of Debt,37098800.0,-43872630.0,254941564.0,244874295.0
Net Long Term Debt Issuance,37098800.0,-43872630.0,254941564.0,244874295.0
Long Term Debt Payments,-1166521386.0,-2629715384.0,-1310937198.0,-937004597.0
Long Term Debt Issuance,1203620186.0,2585842754.0,1565878762.0,1181878892.0
Investing Cash Flow,-338370856.0,-508823666.0,-241988636.0,-249396230.0
Net Investment Purchase And Sale,-9000000.0,-51000000.0,-10000000.0,0.0
Purchase Of Investment,-9000000.0,-51000000.0,-10000000.0,0.0
Net Intangibles Purchase And Sale,-2123364.0,-8496593.0,-2757219.0,-3382.0
Purchase Of Intangibles,-2123364.0,-8496593.0,-2757219.0,-3382.0
Net PPE Purchase And Sale,-327247492.0,-449327073.0,-229231417.0,-249392848.0
Sale Of PPE,127907794.0,21496593.0,380544.0,131230.0
Purchase Of PPE,-455155286.0,-470823666.0,-229611961.0,-249524078.0
Operating Cash Flow,544596035.0,766001422.0,191083162.0,76023275.0
Taxes Refund Paid,-21202953.0,-17960103.0,-9487918.0,-10417241.0
Change In Working Capital,-119491759.0,106646440.0,-354653727.0,-228577419.0
Change In Other Current Liabilities,-6102558.0,-9108151.0,-6276766.0,-6714096.0
Change In Accrued Expense,37429587.0,-44038189.0,90132907.0,48200238.0
Change In Payable,-36283245.0,-237078480.0,132561625.0,124129872.0
Change In Prepaid Assets,-40153785.0,7614028.0,41297844.0,-45731116.0
Change In Inventory,1993460.0,6068098.0,85473138.0,5581364.0
Change In Receivables,-76375218.0,383189134.0,-697842475.0,-354043681.0
Other Non Cash Items,202309297.0,220467089.0,154162532.0,68658882.0
Provisionand Write Offof Assets,6384333.0,-29047204.0,32069738.0,1569508.0
Depreciation And Amortization,245950804.0,216747226.0,189812682.0,145974078.0
Amortization Cash Flow,12840295.0,10570547.0,2722204.0,1517135.0
Depreciation,233110509.0,206176679.0,187090478.0,144456943.0
Pension And Employee Benefit Expense,49617031.0,49171394.0,41359778.0,46326540.0
Gain Loss On Investment Securities,-11572756.0,-2272929.0,-7850350.0,
Gain Loss On Sale Of PPE,-113259737.0,-19063065.0,755348.0,1978636.0
Net Income From Continuing Operations,325491368.0,310162890.0,190936658.0,81218370.0
