,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,126976961.0,152833890.0,85880216.0,94907066.0,
Issuance Of Debt,,,0.0,105145000.0,0.0
Issuance Of Capital Stock,,0.0,1010593451.0,0.0,
End Cash Position,125001.0,125000.0,125000.0,125000.0,
Beginning Cash Position,125000.0,125000.0,125000.0,125000.0,
Changes In Cash,1.0,0.0,0.0,0.0,
Financing Cash Flow,-141214297.0,-147942823.0,886363845.0,22519058.0,
Cash Dividends Paid,-141214297.0,-147942823.0,-124229606.0,-82625942.0,
Net Common Stock Issuance,,0.0,1010593451.0,0.0,
Common Stock Issuance,,0.0,1010593451.0,0.0,
Net Issuance Payments Of Debt,,,0.0,105145000.0,0.0
Net Long Term Debt Issuance,,,0.0,105145000.0,0.0
Long Term Debt Issuance,,,0.0,105145000.0,0.0
Investing Cash Flow,14237337.0,-4891067.0,-972244061.0,-117426124.0,
Net Investment Purchase And Sale,16207476.0,-66297191.0,30479476.0,-18681105.0,
Sale Of Investment,276033210.0,429384226.0,190834369.0,144572195.0,
Purchase Of Investment,-259825734.0,-495681417.0,-160354893.0,-163253300.0,
Net Investment Properties Purchase And Sale,-1970139.0,61406124.0,-1002723537.0,-98745019.0,
Sale Of Investment Properties,0.0,125848805.0,0.0,,
Purchase Of Investment Properties,-1970139.0,-64442681.0,-1002723537.0,-98745019.0,
Operating Cash Flow,126976961.0,152833890.0,85880216.0,94907066.0,
Interest Paid Cfo,-15549986.0,-30984280.0,,,
Change In Working Capital,-51428387.0,-18309347.0,-31888364.0,-4689269.0,
Change In Other Current Assets,-4674237.0,6165132.0,-5099053.0,1638490.0,
Change In Accrued Expense,-34948076.0,-16765045.0,1383032.0,3620159.0,
Change In Prepaid Assets,478964.0,445053.0,9038384.0,-3279282.0,
Change In Receivables,-12285038.0,-8154487.0,-37210727.0,-6668636.0,
Other Non Cash Items,50567082.0,54844865.0,,,
Provisionand Write Offof Assets,,,1523494.0,-12272541.0,10100314.0
Depreciation And Amortization,50020232.0,47537877.0,38267467.0,29934541.0,
Depreciation,50020232.0,47537877.0,38267467.0,29934541.0,
Gain Loss On Investment Securities,-6622232.0,-22561629.0,-3257867.0,-1771664.0,
Net Income From Continuing Operations,147389966.0,187246875.0,75547599.0,113410901.0,
