,2026-03-31,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.166627,0.118975
Normalized EBITDA,64741859.0,82071674.0
Net Income From Continuing Operation Net Minority Interest,46602502.0,66219323.0
Reconciled Depreciation,7347891.0,5649076.0
Reconciled Cost Of Revenue,372932676.0,388613694.0
EBITDA,64741859.0,82071674.0
EBIT,57393968.0,76422598.0
Net Interest Income,-1977703.0,-1670671.0
Interest Expense,1473654.0,1260872.0
Normalized Income,46602502.0,66219323.0
Net Income From Continuing And Discontinued Operation,46602502.0,66219323.0
Total Expenses,421089526.0,431147577.0
Rent Expense Supplemental,1343676.0,1359360.0
Total Operating Income As Reported,54331494.0,71577318.0
Diluted Average Shares,,100000000.0
Basic Average Shares,,100000000.0
Diluted EPS,,0.662193
Basic EPS,,0.662193
Diluted NI Availto Com Stockholders,46602502.0,66219323.0
Net Income Common Stockholders,46602502.0,66219323.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,46602502.0,66219323.0
Net Income Including Noncontrolling Interests,46602502.0,66219323.0
Net Income Continuous Operations,46602502.0,66219323.0
Tax Provision,9317812.0,8942403.0
Pretax Income,55920314.0,75161726.0
Other Non Operating Income Expenses,2149654.0,2070648.0
Net Non Operating Interest Income Expense,-1977703.0,-1670671.0
Total Other Finance Cost,504049.0,409799.0
Interest Expense Non Operating,1473654.0,1260872.0
Operating Income,56054042.0,73190042.0
Operating Expense,48156850.0,42533883.0
Other Operating Expenses,3823946.0,1702777.0
Depreciation And Amortization In Income Statement,2255755.0,1571558.0
Amortization,269549.0,190893.0
Depreciation Income Statement,1986206.0,1380665.0
Selling General And Administration,11982496.0,12404101.0
Selling And Marketing Expense,5691610.0,4772363.0
General And Administrative Expense,6290886.0,7631738.0
Rent And Landing Fees,49810.0,208154.0
Gross Profit,104210892.0,115723925.0
Cost Of Revenue,372932676.0,388613694.0
Total Revenue,477143568.0,504337619.0
Operating Revenue,477143568.0,504337619.0
