,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-94785000.0,62662000.0,-11307000.0,144530000.0,
Capital Expenditure,-5102000.0,-9362000.0,-888000.0,-1905000.0,
End Cash Position,51680000.0,169782000.0,117616000.0,254752000.0,
Beginning Cash Position,169782000.0,117616000.0,254752000.0,83021000.0,
Changes In Cash,-118102000.0,52166000.0,-137136000.0,171731000.0,
Financing Cash Flow,-21272000.0,-21313000.0,-1129000.0,-1776000.0,
Cash Dividends Paid,-19800000.0,-19800000.0,,,
Common Stock Dividend Paid,-19800000.0,-19800000.0,,,
Investing Cash Flow,-7147000.0,1455000.0,-125588000.0,27072000.0,
Net Other Investing Changes,39818000.0,34481000.0,18961000.0,9502000.0,
Dividends Received Cfi,927000.0,675000.0,0.0,140000.0,
Net Investment Purchase And Sale,-42790000.0,-24339000.0,-143661000.0,19475000.0,
Sale Of Investment,145210000.0,128672000.0,106339000.0,246077000.0,
Purchase Of Investment,-188000000.0,-153011000.0,-250000000.0,-226602000.0,
Net Business Purchase And Sale,,,,0.0,140850000.0
Sale Of Business,,,,0.0,140850000.0
Net Intangibles Purchase And Sale,-3117000.0,-4311000.0,-583000.0,,
Purchase Of Intangibles,-3117000.0,-4311000.0,-583000.0,,
Net PPE Purchase And Sale,-1985000.0,-5051000.0,-305000.0,-1905000.0,
Sale Of PPE,,,,0.0,170000.0
Purchase Of PPE,-1985000.0,-5051000.0,-305000.0,-1905000.0,
Operating Cash Flow,-89683000.0,72024000.0,-10419000.0,146435000.0,
Taxes Refund Paid,-27181000.0,-35784000.0,-7891000.0,-1204000.0,
Dividend Paid Cfo,,,,-4892000.0,-261000.0
Change In Working Capital,-75592000.0,96480000.0,-40598000.0,121883000.0,
Change In Other Current Liabilities,,,,774000.0,-724000.0
Change In Other Current Assets,-56414000.0,119086000.0,224625000.0,-123675000.0,
Change In Accrued Expense,1003000.0,5592000.0,-10177000.0,-5572000.0,
Change In Payable,,,,13788000.0,15663000.0
Change In Prepaid Assets,240000.0,8975000.0,3170000.0,4754000.0,
Change In Receivables,-8497000.0,902000.0,-4277000.0,-10621000.0,
Other Non Cash Items,-38575000.0,-34642000.0,-21722000.0,-12215000.0,
Provisionand Write Offof Assets,,,,-931000.0,6176000.0
Deferred Tax,5054000.0,6141000.0,23651000.0,,
Depreciation And Amortization,5172000.0,3861000.0,3013000.0,4722000.0,
Amortization Cash Flow,1732000.0,1167000.0,826000.0,,
Depreciation,3440000.0,2694000.0,2187000.0,4722000.0,
Pension And Employee Benefit Expense,1722000.0,1508000.0,1530000.0,1086000.0,
Gain Loss On Investment Securities,1446000.0,-695000.0,-11896000.0,-6710000.0,
Gain Loss On Sale Of PPE,,,,969000.0,1784000.0
Net Income From Continuing Operations,39841000.0,37203000.0,44254000.0,40450000.0,
