,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.08031,0.135403,0.100141
Normalized EBITDA,177669616.0,138218836.0,141130909.0
Net Income From Continuing Operation Net Minority Interest,72414951.0,40726824.0,56718308.0
Reconciled Depreciation,46191517.0,50265504.0,44712088.0
Reconciled Cost Of Revenue,585995154.0,298631518.0,233514801.0
EBITDA,177669616.0,138218836.0,141130909.0
EBIT,131478099.0,87953332.0,96418821.0
Net Interest Income,-6173632.0,-12889224.0,-13475348.0
Interest Expense,49100729.0,40524226.0,33162109.0
Interest Income,43146637.0,27993762.0,20044247.0
Normalized Income,72414951.0,40726824.0,56718308.0
Net Income From Continuing And Discontinued Operation,72414951.0,40726824.0,56718308.0
Total Expenses,615703282.0,330385880.0,254207306.0
Total Operating Income As Reported,83951077.0,54703178.0,70255592.0
Diluted Average Shares,160925543.0,160925543.0,160925543.0
Basic Average Shares,160925543.0,160925543.0,160925543.0
Diluted EPS,0.45,0.25,0.352451
Basic EPS,0.45,0.25,0.352451
Diluted NI Availto Com Stockholders,72414951.0,40726824.0,56718308.0
Net Income Common Stockholders,72414951.0,40726824.0,56718308.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,72414951.0,40726824.0,56718308.0
Minority Interests,-3346682.0,-280254.0,-203806.0
Net Income Including Noncontrolling Interests,75761633.0,41007078.0,56922114.0
Net Income Continuous Operations,75761633.0,41007078.0,56922114.0
Tax Provision,6615737.0,6422028.0,6334598.0
Pretax Income,82377370.0,47429106.0,63256712.0
Net Non Operating Interest Income Expense,-6173632.0,-12889224.0,-13475348.0
Total Other Finance Cost,219540.0,358760.0,357486.0
Interest Expense Non Operating,49100729.0,40524226.0,33162109.0
Interest Income Non Operating,43146637.0,27993762.0,20044247.0
Operating Income,83951077.0,54703178.0,70255592.0
Operating Expense,29708128.0,31754362.0,20692505.0
Other Operating Expenses,564788.0,1780984.0,919327.0
Depreciation And Amortization In Income Statement,8907461.0,3406326.0,3444829.0
Amortization,97981.0,33179.0,218022.0
Depreciation Income Statement,8809480.0,3373147.0,3226807.0
Selling General And Administration,19495643.0,12671361.0,6674825.0
Selling And Marketing Expense,2886995.0,916374.0,185020.0
General And Administrative Expense,16608648.0,11754987.0,6489805.0
Gross Profit,113659205.0,86457540.0,90948097.0
Cost Of Revenue,585995154.0,298631518.0,233514801.0
Total Revenue,699654359.0,385089058.0,324462898.0
Operating Revenue,699654359.0,385089058.0,324462898.0
