,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,4270226.328269,3269617.595925
Tax Rate For Calcs,0.051094,0.065601
Normalized EBITDA,243197077.0,139380397.0
Total Unusual Items,83575598.0,49840866.0
Total Unusual Items Excluding Goodwill,83575598.0,49840866.0
Net Income From Continuing Operation Net Minority Interest,280985787.0,158350195.0
Reconciled Depreciation,6711175.0,5162007.0
Reconciled Cost Of Revenue,877518256.0,785128884.0
EBITDA,326772675.0,189221263.0
EBIT,320061500.0,184059256.0
Net Interest Income,-30182671.0,-15906888.0
Interest Expense,23945932.0,14591803.0
Interest Income,1978246.0,785379.0
Normalized Income,201680415.328269,111778946.595925
Net Income From Continuing And Discontinued Operation,280985787.0,158350195.0
Total Expenses,948575574.0,838109145.0
Rent Expense Supplemental,211955.0,386239.0
Total Operating Income As Reported,239218748.0,113645499.0
Diluted Average Shares,30459184.0,42857143.0
Basic Average Shares,30459184.0,42857143.0
Diluted EPS,9.22,3.694838
Basic EPS,9.22,3.694838
Diluted NI Availto Com Stockholders,280985787.0,158350195.0
Net Income Common Stockholders,280985787.0,158350195.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,280985787.0,158350195.0
Net Income Including Noncontrolling Interests,280985787.0,158350195.0
Net Income Continuous Operations,280985787.0,158350195.0
Tax Provision,15129781.0,11117258.0
Pretax Income,296115568.0,169467453.0
Other Non Operating Income Expenses,5866157.0,21887976.0
Net Non Operating Interest Income Expense,-30182671.0,-15906888.0
Total Other Finance Cost,8214985.0,2100464.0
Interest Expense Non Operating,23945932.0,14591803.0
Interest Income Non Operating,1978246.0,785379.0
Operating Income,239218748.0,113645499.0
Operating Expense,71057318.0,52980261.0
Other Operating Expenses,-194809.0,3481048.0
Depreciation And Amortization In Income Statement,6092993.0,4483219.0
Depreciation Income Statement,6092993.0,4483219.0
Selling General And Administration,41726746.0,29526213.0
Selling And Marketing Expense,28308505.0,18290342.0
General And Administrative Expense,13418241.0,11235871.0
Rent And Landing Fees,211955.0,386239.0
Gross Profit,310276066.0,166625760.0
Cost Of Revenue,877518256.0,785128884.0
Total Revenue,1187794322.0,951754644.0
Operating Revenue,1187794322.0,951754644.0
