,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,136642157.0,134411222.0,118128140.0,99810779.0
Repayment Of Debt,0.0,-453122500.0,-150000000.0,0.0
Issuance Of Debt,340377500.0,202122500.0,0.0,30000000.0
Issuance Of Capital Stock,,,0.0,250000000.0
End Cash Position,57748746.0,65974431.0,45636276.0,62169492.0
Beginning Cash Position,65974431.0,45636276.0,62169492.0,18536864.0
Changes In Cash,-8225685.0,20338155.0,-16533216.0,43632628.0
Financing Cash Flow,191169672.0,-400207828.0,-300957828.0,156760000.0
Cash Dividends Paid,-149207828.0,-149207828.0,-149207828.0,-123240000.0
Net Common Stock Issuance,,,0.0,250000000.0
Common Stock Issuance,,,0.0,250000000.0
Net Issuance Payments Of Debt,340377500.0,-251000000.0,-150000000.0,30000000.0
Net Long Term Debt Issuance,340377500.0,-251000000.0,-150000000.0,30000000.0
Long Term Debt Payments,0.0,-453122500.0,-150000000.0,0.0
Long Term Debt Issuance,340377500.0,202122500.0,0.0,30000000.0
Investing Cash Flow,-336037514.0,286134761.0,166296472.0,-212938151.0
Net Investment Purchase And Sale,0.0,421132110.0,1590554.0,14123489.0
Sale Of Investment,0.0,421132110.0,188590554.0,14123489.0
Purchase Of Investment,,0.0,-187000000.0,0.0
Net Investment Properties Purchase And Sale,-336037514.0,-134997349.0,164705918.0,-227061640.0
Sale Of Investment Properties,90000000.0,0.0,167000000.0,0.0
Purchase Of Investment Properties,-426037514.0,-134997349.0,-2294082.0,-227061640.0
Operating Cash Flow,136642157.0,134411222.0,118128140.0,99810779.0
Interest Received Cfo,2108821.0,667447.0,0.0,
Interest Paid Cfo,-37644428.0,-27604507.0,-25053166.0,-16888664.0
Change In Working Capital,18796586.0,-5482682.0,-3102162.0,-26964315.0
Change In Other Current Assets,9116283.0,2337994.0,-162404.0,-1139299.0
Change In Accrued Expense,-18511881.0,10281616.0,12396901.0,501971.0
Change In Payable,91423.0,-38476475.0,38755734.0,203879.0
Change In Prepaid Assets,29843154.0,-20286242.0,706284.0,-30678517.0
Change In Receivables,-1742393.0,40660425.0,-54798677.0,4147651.0
Other Non Cash Items,36864201.0,28843219.0,28512266.0,18754025.0
Depreciation And Amortization,37887409.0,38500806.0,41223214.0,39429341.0
Depreciation,37887409.0,38500806.0,41223214.0,39429341.0
Gain Loss On Investment Securities,9026148.0,-86859232.0,-38160955.0,11918793.0
Net Income From Continuing Operations,55774988.0,200274317.0,77641492.0,27847573.0
