,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-46494000.0,-34616000.0,56125000.0,77797000.0
Repayment Of Debt,-4192000.0,-37388000.0,-63939000.0,-224197000.0
Issuance Of Debt,37228000.0,78259000.0,13954000.0,0.0
Capital Expenditure,-12650000.0,-10068000.0,-8374000.0,-15991000.0
End Cash Position,3047000.0,14446000.0,9318000.0,10264000.0
Other Cash Adjustment Outside Changein Cash,,-1597000.0,,
Beginning Cash Position,14446000.0,9318000.0,10264000.0,6163000.0
Effect Of Exchange Rate Changes,89000.0,-127000.0,-12000.0,-28000.0
Changes In Cash,-11488000.0,5255000.0,-934000.0,4129000.0
Financing Cash Flow,28910000.0,35753000.0,-57059000.0,-226675000.0
Net Other Financing Charges,,30501468.0,,
Net Issuance Payments Of Debt,33036000.0,40871000.0,-49985000.0,-224197000.0
Net Short Term Debt Issuance,19433000.0,30532000.0,10215000.0,-40101000.0
Short Term Debt Payments,-4192000.0,0.0,-3739000.0,-40101000.0
Short Term Debt Issuance,23625000.0,30532000.0,13954000.0,0.0
Net Long Term Debt Issuance,13603000.0,10339000.0,-60200000.0,-184096000.0
Long Term Debt Payments,0.0,-37388000.0,-60200000.0,-184096000.0
Long Term Debt Issuance,13603000.0,47727000.0,0.0,
Investing Cash Flow,-6554000.0,-5950000.0,-8374000.0,137016000.0
Dividends Received Cfi,,,0.0,5514000.0
Net Investment Purchase And Sale,,,0.0,145879000.0
Sale Of Investment,,,0.0,145879000.0
Net PPE Purchase And Sale,-6554000.0,-5950000.0,-8374000.0,-14377000.0
Sale Of PPE,6096000.0,4118000.0,0.0,1614000.0
Purchase Of PPE,-12650000.0,-10068000.0,-8374000.0,-15991000.0
Operating Cash Flow,-33844000.0,-24548000.0,64499000.0,93788000.0
Taxes Refund Paid,-696000.0,-3165000.0,-917000.0,-2508000.0
Interest Paid Cfo,-8484000.0,-17315000.0,-2960000.0,-10712000.0
Change In Working Capital,28829000.0,37572000.0,-50181000.0,35223000.0
Change In Accrued Expense,-30330000.0,-1480000.0,707000.0,-5659000.0
Change In Payable,54796000.0,-12048000.0,-37120000.0,95674000.0
Change In Prepaid Assets,-8722000.0,7768000.0,-407000.0,11486000.0
Change In Inventory,10802000.0,14491000.0,-20958000.0,-34422000.0
Change In Receivables,2283000.0,28841000.0,7597000.0,-31856000.0
Other Non Cash Items,33703000.0,15775000.0,12836000.0,13628000.0
Provisionand Write Offof Assets,-5391000.0,6474000.0,-416000.0,1038000.0
Deferred Tax,,13742000.0,-1570000.0,-21034000.0
Depreciation And Amortization,65689000.0,62239000.0,67463000.0,60981000.0
Depreciation,65689000.0,62239000.0,67463000.0,60981000.0
Pension And Employee Benefit Expense,4474000.0,4373000.0,3666000.0,3717000.0
Gain Loss On Investment Securities,,,,-5514000.0
Gain Loss On Sale Of PPE,0.0,874000.0,49000.0,0.0
Net Income From Continuing Operations,8185000.0,-143143000.0,39507000.0,31843000.0
