,2025-07-31,2023-08-31,2022-08-31,2021-08-31
Tax Effect Of Unusual Items,,4764.409961,0.0,211904.277539
Tax Rate For Calcs,,0.030439,0.03922,0.14127
Normalized EBITDA,,148985827.0,106735141.0,47104261.0
Total Unusual Items,,156522.0,0.0,1500000.0
Total Unusual Items Excluding Goodwill,,156522.0,0.0,1500000.0
Net Income From Continuing Operation Net Minority Interest,,101784524.0,71046522.0,24457508.0
Reconciled Depreciation,,35304103.0,26666749.0,15870530.0
Reconciled Cost Of Revenue,,266046412.0,189179192.0,116782429.0
EBITDA,,149142349.0,106735141.0,48604261.0
EBIT,,113838246.0,80068392.0,32733731.0
Net Interest Income,,-14903048.0,-10296860.0,-7868890.0
Interest Expense,,8858210.0,6121683.0,4252725.0
Normalized Income,,101632766.409961,71046522.0,23169412.277539
Net Income From Continuing And Discontinued Operation,,101784524.0,71046522.0,24457508.0
Total Expenses,,329049251.0,225467263.0,142361695.0
Total Operating Income As Reported,,114187253.0,80171256.0,34164565.0
Diluted Average Shares,43000000.0,43000000.0,43000000.0,43000000.0
Basic Average Shares,43000000.0,43000000.0,43000000.0,43000000.0
Diluted EPS,3.74,2.37,1.65,0.57
Basic EPS,3.74,2.37,1.65,0.57
Diluted NI Availto Com Stockholders,,101784524.0,71046522.0,24457508.0
Net Income Common Stockholders,,101784524.0,71046522.0,24457508.0
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0
Net Income,,101784524.0,71046522.0,24457508.0
Net Income Including Noncontrolling Interests,,101784524.0,71046522.0,24457508.0
Net Income Continuous Operations,,101784524.0,71046522.0,24457508.0
Tax Provision,,3195512.0,2900187.0,4023498.0
Pretax Income,,104980036.0,73946709.0,28481006.0
Other Non Operating Income Expenses,,2282680.0,1179838.0,1123750.0
Special Income Charges,,156522.0,0.0,1500000.0
Other Special Charges,,-156522.0,,
Write Off,,,-825909.0,-1500000.0
Net Non Operating Interest Income Expense,,-14903048.0,-10296860.0,-7868890.0
Total Other Finance Cost,,6044838.0,4175177.0,3616165.0
Interest Expense Non Operating,,8858210.0,6121683.0,4252725.0
Operating Income,,117443882.0,83063731.0,33726146.0
Operating Expense,,63002839.0,36288071.0,25579266.0
Other Operating Expenses,,6618725.0,453544.0,2019230.0
Depreciation And Amortization In Income Statement,,5037608.0,2507642.0,2455063.0
Amortization,,3165869.0,2507642.0,2455063.0
Depreciation Income Statement,,1871739.0,0.0,0.0
Selling General And Administration,,24479849.0,13701047.0,12422062.0
Selling And Marketing Expense,,8864142.0,4551078.0,4519910.0
General And Administrative Expense,,15615707.0,9149969.0,7902152.0
Gross Profit,,180446721.0,119351802.0,59305412.0
Cost Of Revenue,,266046412.0,189179192.0,116782429.0
Total Revenue,,446493133.0,308530994.0,176087841.0
Operating Revenue,,446493133.0,308530994.0,176087841.0
