,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,287386869.0,134033292.0,40680615.0
Issuance Of Capital Stock,0.0,193744330.0,0.0
Capital Expenditure,-46035251.0,-31082184.0,-31081177.0
End Cash Position,740964123.0,451030258.0,116490434.0
Beginning Cash Position,451030258.0,116490434.0,77397342.0
Effect Of Exchange Rate Changes,-888549.0,3970232.0,798708.0
Changes In Cash,290822414.0,330569592.0,38294384.0
Financing Cash Flow,-1715144.0,191882311.0,-2904610.0
Net Other Financing Charges,730246.0,,
Net Common Stock Issuance,0.0,193744330.0,0.0
Common Stock Issuance,0.0,193744330.0,0.0
Investing Cash Flow,-40884562.0,-26428195.0,-30562798.0
Interest Received Cfi,5150689.0,4653989.0,518379.0
Net Intangibles Purchase And Sale,-41575992.0,-27500222.0,-19833950.0
Purchase Of Intangibles,-41575992.0,-27500222.0,-19833950.0
Net PPE Purchase And Sale,-4459259.0,-3581962.0,-11247227.0
Purchase Of PPE,-4459259.0,-3581962.0,-11247227.0
Operating Cash Flow,333422120.0,165115476.0,71761792.0
Taxes Refund Paid,-15773309.0,-5542491.0,-3305316.0
Interest Received Cfo,9822265.0,3135044.0,0.0
Interest Paid Cfo,-723245.0,-270776.0,-273559.0
Change In Working Capital,38224400.0,39215512.0,-1079938.0
Change In Other Current Assets,7258677.0,11847471.0,-34317325.0
Change In Payable,116991242.0,307594144.0,131013493.0
Change In Receivables,-86025519.0,-280226103.0,-97776106.0
Other Non Cash Items,-16744267.0,-9993166.0,-244820.0
Stock Based Compensation,22387946.0,0.0,
Provisionand Write Offof Assets,-1635963.0,11430657.0,2168038.0
Depreciation And Amortization,19571164.0,14734599.0,13101637.0
Amortization Cash Flow,11831940.0,8047776.0,7945960.0
Depreciation,7739224.0,6686823.0,5155677.0
Pension And Employee Benefit Expense,4055160.0,2442689.0,2224757.0
Gain Loss On Sale Of PPE,,0.0,5531.0
Net Income From Continuing Operations,269088727.0,110389741.0,51245042.0
