,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,15000000.0,15000000.0,15000000.0,15000000.0,
Share Issued,15000000.0,15000000.0,15000000.0,15000000.0,
Total Debt,362316.0,518272.0,0.0,,
Tangible Book Value,283309032.0,343442644.0,433972503.0,438763822.0,
Invested Capital,283311459.0,343469321.0,434011332.0,438820853.0,
Working Capital,225885210.0,291726565.0,40538696.0,48007035.0,
Net Tangible Assets,283309032.0,343442644.0,433972503.0,438763822.0,
Capital Lease Obligations,362316.0,518272.0,0.0,,
Common Stock Equity,283311459.0,343469321.0,434011332.0,438820853.0,
Total Capitalization,283311459.0,343469321.0,434011332.0,438820853.0,
Total Equity Gross Minority Interest,283311459.0,343469321.0,434011332.0,438820853.0,
Stockholders Equity,283311459.0,343469321.0,434011332.0,438820853.0,
Retained Earnings,101618305.0,161776167.0,35155847.0,43238857.0,
Capital Stock,150000000.0,150000000.0,150000000.0,150000000.0,
Common Stock,150000000.0,150000000.0,150000000.0,150000000.0,
Total Liabilities Net Minority Interest,21731698.0,16899199.0,7202722.0,6413333.0,
Total Non Current Liabilities Net Minority Interest,368737.0,456364.0,122492.0,47509.0,
Non Current Pension And Other Postretirement Benefit Plans,186308.0,134884.0,122492.0,47509.0,
Long Term Debt And Capital Lease Obligation,182429.0,321480.0,0.0,,
Long Term Capital Lease Obligation,182429.0,321480.0,0.0,,
Current Liabilities,21362961.0,16442835.0,7080230.0,6365824.0,
Current Deferred Taxes Liabilities,13456268.0,7799680.0,878330.0,1437887.0,
Current Debt And Capital Lease Obligation,179887.0,196792.0,0.0,,
Current Capital Lease Obligation,179887.0,196792.0,0.0,,
Current Provisions,,,1832000.0,,
Payables,2213852.0,2231880.0,2279917.0,2838155.0,
Other Payable,,,2279917.0,2838155.0,2415472.0
Dividends Payable,2213852.0,2231880.0,2279917.0,,
Total Assets,305043157.0,360368520.0,441214054.0,445234186.0,
Total Non Current Assets,57794986.0,52199120.0,393595128.0,390861327.0,
Investmentin Financial Assets,,0.0,343908353.0,341405027.0,483049979.0
Available For Sale Securities,,,343908353.0,341405027.0,483049979.0
Long Term Equity Investment,56944887.0,51614296.0,49610116.0,49352494.0,
Investmentsin Associatesat Cost,56944887.0,51614296.0,49610116.0,49352494.0,
Goodwill And Other Intangible Assets,2427.0,26677.0,38829.0,57031.0,
Net PPE,847672.0,558147.0,37830.0,46775.0,
Gross PPE,847672.0,558147.0,37830.0,,
Other Properties,847672.0,558147.0,37830.0,,
Current Assets,247248171.0,308169400.0,47618926.0,54372859.0,
Other Current Assets,,,,367385.0,-1.0
Restricted Cash,,,7597240.0,,
Prepaid Assets,224851.0,246047.0,134269.0,367385.0,
Other Receivables,36735.0,1139391.0,7602247.0,367385.0,
Cash Cash Equivalents And Short Term Investments,246986585.0,306783962.0,39882410.0,54005474.0,
Other Short Term Investments,238763462.0,281922793.0,,,
Cash And Cash Equivalents,8223123.0,24861169.0,39882410.0,54005474.0,
Cash Financial,,,39882410.0,54005474.0,30425868.0
