,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,-35655.692056,944966.250606,76797.449002
Tax Rate For Calcs,0.086479,0.091155,0.12065
Normalized EBITDA,146902902.0,113185941.0,90078203.0
Total Unusual Items,-412307.0,10366565.0,636531.0
Total Unusual Items Excluding Goodwill,-412307.0,10366565.0,636531.0
Net Income From Continuing Operation Net Minority Interest,95101959.0,85508204.0,59829040.0
Reconciled Depreciation,40144831.0,28216472.0,22373356.0
Reconciled Cost Of Revenue,834013165.0,587076682.0,391261612.0
EBITDA,146490595.0,123552506.0,90714734.0
EBIT,106345764.0,95336034.0,68341378.0
Net Interest Income,8514965.0,10155787.0,9867209.0
Interest Expense,785183.0,681944.0,582118.0
Interest Income,,11504753.0,10973048.0
Normalized Income,95478610.307944,76086605.250606,59269306.449002
Net Income From Continuing And Discontinued Operation,95101959.0,85508204.0,59829040.0
Total Expenses,917560613.0,648729634.0,440685442.0
Rent Expense Supplemental,3666691.0,2669713.0,1846839.0
Total Operating Income As Reported,93807989.0,70393027.0,55145654.0
Diluted Average Shares,26500000.0,26500000.0,26500000.0
Basic Average Shares,26500000.0,26500000.0,26500000.0
Diluted EPS,3.59,3.23,2.2577
Basic EPS,3.59,3.23,2.2577
Diluted NI Availto Com Stockholders,95101959.0,85508204.0,59829040.0
Net Income Common Stockholders,95101959.0,85508204.0,59829040.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,95101959.0,85508204.0,59829040.0
Minority Interests,-1329901.0,-517674.0,244933.0
Net Income Including Noncontrolling Interests,96431860.0,86025878.0,59584107.0
Net Income Continuous Operations,96431860.0,86025878.0,59584107.0
Tax Provision,9128721.0,8628212.0,8175153.0
Pretax Income,105560581.0,94654090.0,67759260.0
Other Non Operating Income Expenses,903440.0,1226432.0,2109866.0
Special Income Charges,2130.0,9559257.0,258409.0
Other Special Charges,-2130.0,-9559257.0,-258409.0
Net Non Operating Interest Income Expense,8514965.0,10155787.0,9867209.0
Total Other Finance Cost,-9300148.0,-10837731.0,523721.0
Interest Expense Non Operating,785183.0,681944.0,582118.0
Interest Income Non Operating,,11504753.0,10973048.0
Operating Income,96554483.0,72905306.0,55145654.0
Operating Expense,83547448.0,61652952.0,49423830.0
Other Operating Expenses,14770027.0,4320671.0,2015811.0
Depreciation And Amortization In Income Statement,3184572.0,2644514.0,1737031.0
Depreciation Income Statement,3184572.0,2644514.0,1737031.0
Selling General And Administration,20049055.0,22746321.0,21459037.0
Selling And Marketing Expense,3119799.0,7077632.0,7191975.0
General And Administrative Expense,16929256.0,15668689.0,14267062.0
Rent And Landing Fees,93219.0,130948.0,78556.0
Gross Profit,180101931.0,134558258.0,104569484.0
Cost Of Revenue,834013165.0,587076682.0,391261612.0
Total Revenue,1014115096.0,721634940.0,495831096.0
Operating Revenue,1014115096.0,721634940.0,495831096.0
