,2025-12-31,2024-12-31
Free Cash Flow,85137000.0,88970000.0
Repayment Of Debt,-74209000.0,-24302000.0
Issuance Of Debt,108720000.0,74938000.0
Capital Expenditure,-56461000.0,-57977000.0
End Cash Position,259018000.0,174172000.0
Beginning Cash Position,174172000.0,105557000.0
Changes In Cash,84846000.0,68615000.0
Financing Cash Flow,11516000.0,2776000.0
Interest Paid Cff,-4257000.0,-2493000.0
Cash Dividends Paid,,-33367000.0
Net Issuance Payments Of Debt,34511000.0,50636000.0
Net Long Term Debt Issuance,34511000.0,50636000.0
Long Term Debt Payments,-74209000.0,-24302000.0
Long Term Debt Issuance,108720000.0,74938000.0
Investing Cash Flow,-68268000.0,-81108000.0
Interest Received Cfi,5995000.0,3664000.0
Dividends Received Cfi,35585000.0,0.0
Net Investment Purchase And Sale,-53387000.0,-26795000.0
Net PPE Purchase And Sale,-56461000.0,-57977000.0
Purchase Of PPE,-56461000.0,-57977000.0
Operating Cash Flow,141598000.0,146947000.0
Taxes Refund Paid,-9141000.0,-3142000.0
Change In Working Capital,-6110000.0,-9545000.0
Change In Payable,53258000.0,21866000.0
Change In Inventory,83000.0,-794000.0
Change In Receivables,-59451000.0,-30617000.0
Other Non Cash Items,1218000.0,5528000.0
Provisionand Write Offof Assets,17395000.0,2851000.0
Depreciation And Amortization,54150000.0,44831000.0
Amortization Cash Flow,5750000.0,5750000.0
Depreciation,48400000.0,39081000.0
Pension And Employee Benefit Expense,8046000.0,6631000.0
Net Income From Continuing Operations,169581000.0,162169000.0
