,2025-12-31,2024-12-31
Free Cash Flow,94798757.0,109167160.0
Repayment Of Debt,-23560237.0,-5016244.0
Issuance Of Debt,,23487778.0
Capital Expenditure,-74195576.0,-56973572.0
End Cash Position,85159556.0,38005164.0
Beginning Cash Position,38005164.0,30586197.0
Effect Of Exchange Rate Changes,0.0,3057.0
Changes In Cash,47154392.0,7415910.0
Financing Cash Flow,-63782783.0,-53842763.0
Net Other Financing Charges,7370128.0,
Cash Dividends Paid,-40000000.0,-65000000.0
Common Stock Dividend Paid,-40000000.0,-65000000.0
Net Issuance Payments Of Debt,-23560237.0,18471534.0
Net Short Term Debt Issuance,-23560237.0,18471534.0
Short Term Debt Payments,-23560237.0,-5016244.0
Short Term Debt Issuance,,23487778.0
Investing Cash Flow,-58057158.0,-104882059.0
Net Other Investing Changes,12499536.0,4454396.0
Interest Received Cfi,3155995.0,0.0
Net Business Purchase And Sale,0.0,-52442550.0
Purchase Of Business,0.0,-52442550.0
Net Intangibles Purchase And Sale,-1354369.0,-1468584.0
Purchase Of Intangibles,-1354369.0,-1468584.0
Net PPE Purchase And Sale,-72358320.0,-55425321.0
Sale Of PPE,482887.0,79667.0
Purchase Of PPE,-72841207.0,-55504988.0
Operating Cash Flow,168994333.0,166140732.0
Taxes Refund Paid,-14252568.0,-16637755.0
Interest Paid Cfo,-5529429.0,-5959688.0
Change In Working Capital,29425954.0,-9785299.0
Change In Accrued Expense,481026.0,-791668.0
Change In Payable,63196526.0,16904330.0
Change In Prepaid Assets,5291184.0,-7339110.0
Change In Inventory,-13679306.0,-16834238.0
Change In Receivables,-25863476.0,-1724613.0
Other Non Cash Items,-10072252.0,-18554937.0
Provisionand Write Offof Assets,401927.0,2822197.0
Depreciation And Amortization,78699654.0,73603327.0
Amortization Cash Flow,2056033.0,1741036.0
Depreciation,76643621.0,71862291.0
Pension And Employee Benefit Expense,8701164.0,7973697.0
Gain Loss On Investment Securities,-54130.0,
Net Foreign Currency Exchange Gain Loss,12375.0,19778.0
Gain Loss On Sale Of PPE,879930.0,46855.0
Net Income From Continuing Operations,86668833.0,139910066.0
