,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,321178922.0,298325490.0,344134804.0,198265771.0
Repayment Of Debt,-25000000.0,-160000000.0,-25000000.0,
Issuance Of Debt,25000000.0,135000000.0,0.0,
Capital Expenditure,-91641090.0,-34739119.0,-42389885.0,
End Cash Position,73428187.0,111594053.0,525726172.0,371036743.0
Beginning Cash Position,111594053.0,525726172.0,371036743.0,206612823.0
Changes In Cash,-38165866.0,-414132119.0,154689429.0,164423920.0
Financing Cash Flow,-302672587.0,-275743120.0,-186749846.0,-16254730.0
Interest Paid Cff,-6479917.0,-6131266.0,,
Cash Dividends Paid,-295317670.0,-244611854.0,-161749846.0,
Net Issuance Payments Of Debt,0.0,-25000000.0,-25000000.0,
Net Long Term Debt Issuance,0.0,-25000000.0,-25000000.0,
Long Term Debt Payments,-25000000.0,-160000000.0,-25000000.0,
Long Term Debt Issuance,25000000.0,135000000.0,0.0,
Investing Cash Flow,-148313291.0,-471453608.0,-45085414.0,-17587121.0
Interest Received Cfi,,-6131266.0,-2476616.0,
Net Investment Purchase And Sale,-41462099.0,-92751193.0,2917.0,
Sale Of Investment,1219105751.0,151548807.0,2917.0,
Purchase Of Investment,-1260567850.0,-244300000.0,0.0,
Net Investment Properties Purchase And Sale,-2059395.0,-3087564.0,-226820.0,
Purchase Of Investment Properties,-2059395.0,-3087564.0,-226820.0,
Net Business Purchase And Sale,-13150707.0,-340889646.0,0.0,
Purchase Of Business,-13150707.0,-340889646.0,0.0,
Net PPE Purchase And Sale,-91641090.0,-34725205.0,-42384895.0,
Sale Of PPE,0.0,13914.0,4990.0,
Purchase Of PPE,-91641090.0,-34739119.0,-42389885.0,
Operating Cash Flow,412820012.0,333064609.0,386524689.0,198265771.0
Taxes Refund Paid,-10640955.0,-52570986.0,-26678838.0,
Change In Working Capital,-34745206.0,-53105063.0,36291727.0,
Change In Other Current Assets,9809969.0,-162605.0,4155293.0,
Change In Accrued Expense,16452862.0,-33542361.0,17085306.0,
Change In Payable,2572244.0,939710.0,-4396464.0,
Change In Prepaid Assets,-10755620.0,-23020230.0,-7066487.0,
Change In Inventory,-628429.0,47362.0,-441371.0,
Change In Receivables,-52196232.0,2633061.0,26955450.0,
Other Non Cash Items,7860302.0,5060514.0,1650433.0,
Provisionand Write Offof Assets,-1973579.0,212850.0,10333907.0,
Depreciation And Amortization,37092214.0,35882969.0,32966411.0,
Depreciation,37092214.0,35882969.0,32966411.0,
Pension And Employee Benefit Expense,4623196.0,3662358.0,3340826.0,
Gain Loss On Investment Securities,-36323485.0,-17670840.0,764731.0,
Gain Loss On Sale Of PPE,2708854.0,94167.0,136978.0,
Gain Loss On Sale Of Business,0.0,-2440288.0,0.0,
Net Income From Continuing Operations,485794954.0,423218058.0,348761229.0,
